Occupation	Occupation1	Gender	nIndividuals	AvgTaxableIncome	MedianTaxableIncome
2411 Early Childhood (Pre-primary School) Teachers	241111 Governess - teaching (pre-primary); Kindergarten teacher; Pre-school teacher; School teacher - pre-school or kindergarten; Teacher - governess (pre-primary); Teacher - pre-school or kindergarten	Male	551	58337	56711
2411 Early Childhood (Pre-primary School) Teachers	241111 Governess - teaching (pre-primary); Kindergarten teacher; Pre-school teacher; School teacher - pre-school or kindergarten; Teacher - governess (pre-primary); Teacher - pre-school or kindergarten	Total	20951	50210	46674
2412 Primary School Teachers	241213 Governess - teaching (primary level); Primary school teacher; School teacher - infant or primary school; Teacher - governess (primary level); Teacher - infant or primary school; Infant school teacher	Female	135726	63180	64972
2412 Primary School Teachers	241213 Governess - teaching (primary level); Primary school teacher; School teacher - infant or primary school; Teacher - governess (primary level); Teacher - infant or primary school; Infant school teacher	Male	22045	72503	75534
2412 Primary School Teachers	241213 Governess - teaching (primary level); Primary school teacher; School teacher - infant or primary school; Teacher - governess (primary level); Teacher - infant or primary school; Infant school teacher	Total	157771	64482	66474
2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ)	241311 Middle school teacher; School teacher - middle school; Teacher - middle school	Female	6767	64338	65057
2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ)	241311 Middle school teacher; School teacher - middle school; Teacher - middle school	Male	2509	71703	75469
2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ)	241311 Middle school teacher; School teacher - middle school; Teacher - middle school	Total	9276	66330	67997
2414 Secondary School Teachers	241411 Governess - teaching (secondary level); High school teacher; School teacher - high school or secondary school; Secondary school teacher; Teacher - governess (secondary level); Teacher - high school or secondary school	Female	89839	69258	71077
2414 Secondary School Teachers	241411 Governess - teaching (secondary level); High school teacher; School teacher - high school or secondary school; Secondary school teacher; Teacher - governess (secondary level); Teacher - high school or secondary school	Male	55483	77289	80792
2414 Secondary School Teachers	241411 Governess - teaching (secondary level); High school teacher; School teacher - high school or secondary school; Secondary school teacher; Teacher - governess (secondary level); Teacher - high school or secondary school	Total	145322	72324	74896
2415 Special Education Teachers	241511 Remedial teacher; School teacher - remedial, special needs or special education; Special education teacher; Special needs teacher; Teacher - remedial, special needs or special education	Female	11255	58283	54303
2415 Special Education Teachers	241511 Remedial teacher; School teacher - remedial, special needs or special education; Special education teacher; Special needs teacher; Teacher - remedial, special needs or special education	Male	1878	64583	65946
2415 Special Education Teachers	241511 Remedial teacher; School teacher - remedial, special needs or special education; Special education teacher; Special needs teacher; Teacher - remedial, special needs or special education	Total	13133	59184	56046
2415 Special Education Teachers	241512 School teacher - of the hearing impaired; Teacher of the hearing impaired	Female	365	58494	57623
2415 Special Education Teachers	241512 School teacher - of the hearing impaired; Teacher of the hearing impaired	Male	41	68941	75452
2415 Special Education Teachers	241512 School teacher - of the hearing impaired; Teacher of the hearing impaired	Total	406	59549	59509
2415 Special Education Teachers	241513 School teacher - of the sight impaired; Teacher of the sight impaired	Female	132	60498	57117
2415 Special Education Teachers	241513 School teacher - of the sight impaired; Teacher of the sight impaired	Male	24	64453	63657
2415 Special Education Teachers	241513 School teacher - of the sight impaired; Teacher of the sight impaired	Total	156	61106	57335
2415 Special Education Teachers	241599 Distance education teacher; Migrant teacher; Teacher - distance education; Teacher - migrant	Female	747	54696	50850
2415 Special Education Teachers	241599 Distance education teacher; Migrant teacher; Teacher - distance education; Teacher - migrant	Male	272	60671	61326
2415 Special Education Teachers	241599 Distance education teacher; Migrant teacher; Teacher - distance education; Teacher - migrant	Total	1019	56291	53739
2419 Teacher - other school	241999 School teacher - other school; Teacher - other school	Female	36373	62515	60039
2419 Teacher - other school	241999 School teacher - other school; Teacher - other school	Male	10748	68798	72340
2419 Teacher - other school	241999 School teacher - other school; Teacher - other school	Total	47121	63949	62884
2421 University Lecturers and Tutors	242111 Lecturer - university; Professor; University lecturer	Female	19958	89829	87111
2421 University Lecturers and Tutors	242111 Lecturer - university; Professor; University lecturer	Male	24084	112036	101787
2421 University Lecturers and Tutors	242111 Lecturer - university; Professor; University lecturer	Total	44042	101973	94574
2421 University Lecturers and Tutors	242112 University tutor; Tutor - university	Female	9009	29524	18507
2421 University Lecturers and Tutors	242112 University tutor; Tutor - university	Male	8688	28002	16875
2421 University Lecturers and Tutors	242112 University tutor; Tutor - university	Total	17697	28777	17719
2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ)	242211 Tutor - vocational education; Teacher - vocational education; TAFE teacher or tutor; Lecturer - vocational education	Female	12868	56785	53660
2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ)	242211 Tutor - vocational education; Teacher - vocational education; TAFE teacher or tutor; Lecturer - vocational education	Male	11477	65719	68030
2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ)	242211 Tutor - vocational education; Teacher - vocational education; TAFE teacher or tutor; Lecturer - vocational education	Total	24345	60997	60345
2491 Education Advisers and Reviewers	249111 Education advisor; Teacher - education advisor	Female	8914	59506	51842
2491 Education Advisers and Reviewers	249111 Education advisor; Teacher - education advisor	Male	3227	74361	66095
2491 Education Advisers and Reviewers	249111 Education advisor; Teacher - education advisor	Total	12141	63454	54945
2491 Education Advisers and Reviewers	249112 Education reviewer; Teacher - education reviewer	Female	800	48229	39678
2491 Education Advisers and Reviewers	249112 Education reviewer; Teacher - education reviewer	Male	310	50219	39794
2491 Education Advisers and Reviewers	249112 Education reviewer; Teacher - education reviewer	Total	1110	48785	39709
2492 Private Tutors and Teachers	249211 Art teacher - private; Teacher - art - private	Female	1070	45894	36832
2492 Private Tutors and Teachers	249211 Art teacher - private; Teacher - art - private	Male	295	48210	38803
2492 Private Tutors and Teachers	249211 Art teacher - private; Teacher - art - private	Total	1365	46394	37000
2492 Private Tutors and Teachers	249212 Ballet teacher; Dance teacher - private; Teacher - ballet; Teacher - dance - private	Female	2332	33286	25730
2492 Private Tutors and Teachers	249212 Ballet teacher; Dance teacher - private; Teacher - ballet; Teacher - dance - private	Male	279	39067	32650
2492 Private Tutors and Teachers	249212 Ballet teacher; Dance teacher - private; Teacher - ballet; Teacher - dance - private	Total	2611	33903	26461
2492 Private Tutors and Teachers	249213 Drama teacher - private; Teacher - drama - private	Female	329	48284	40650
2492 Private Tutors and Teachers	249213 Drama teacher - private; Teacher - drama - private	Male	87	56504	59932
2492 Private Tutors and Teachers	249213 Drama teacher - private; Teacher - drama - private	Total	416	50003	41509
2492 Private Tutors and Teachers	249214 Music teacher - private; Teacher - music - private	Female	3260	42341	35324
2492 Private Tutors and Teachers	249214 Music teacher - private; Teacher - music - private	Male	2283	45119	37665
2492 Private Tutors and Teachers	249214 Music teacher - private; Teacher - music - private	Total	5543	43485	36455
2492 Private Tutors and Teachers	249299 English language teacher; Teacher - English language; Language tutor (private tuition); Tutor - language (private tuition); Maths tutor (private tuition); Tutor - maths (private tuition)	Female	4402	38842	31968
2492 Private Tutors and Teachers	249299 English language teacher; Teacher - English language; Language tutor (private tuition); Tutor - language (private tuition); Maths tutor (private tuition); Tutor - maths (private tuition)	Male	2281	37205	28831
2492 Private Tutors and Teachers	249299 English language teacher; Teacher - English language; Language tutor (private tuition); Tutor - language (private tuition); Maths tutor (private tuition); Tutor - maths (private tuition)	Total	6683	38284	31001
2493 Teachers of English to Speakers of Other Languages	249311 ESL teacher; School teacher of English to speakers of other languages; Teacher of English to speakers of other languages	Female	2675	46530	43131
2493 Teachers of English to Speakers of Other Languages	249311 ESL teacher; School teacher of English to speakers of other languages; Teacher of English to speakers of other languages	Male	940	48450	46796
2493 Teachers of English to Speakers of Other Languages	249311 ESL teacher; School teacher of English to speakers of other languages; Teacher of English to speakers of other languages	Total	3615	47029	43977
2500 Health Professionals - type not specified	250000 Medical registrar - type not specified	Female	26	96272	93593
2500 Health Professionals - type not specified	250000 Medical registrar - type not specified	Male	37	105588	117548
2500 Health Professionals - type not specified	250000 Medical registrar - type not specified	Total	63	101743	103548
2511 Dietitians	251111 Dietitian; Scientist - dietitian	Female	4370	58173	53415
2511 Dietitians	251111 Dietitian; Scientist - dietitian	Male	240	65931	64266
2511 Dietitians	251111 Dietitian; Scientist - dietitian	Total	4610	58577	53737
2511 Dietitians	251112 Nutritionist; Scientist - nutritionist	Female	363	44343	37256
2511 Dietitians	251112 Nutritionist; Scientist - nutritionist	Male	31	62684	51365
2511 Dietitians	251112 Nutritionist; Scientist - nutritionist	Total	394	45786	38021
2512 Medical Imaging Professionals	251211 Radiographer	Female	7576	75272	72893
2512 Medical Imaging Professionals	251211 Radiographer	Male	3649	99667	96390
2512 Medical Imaging Professionals	251211 Radiographer	Total	11225	83202	80430
2512 Medical Imaging Professionals	251212 Medical radiation therapist; Therapist - medical radiation	Female	804	68962	66298
2512 Medical Imaging Professionals	251212 Medical radiation therapist; Therapist - medical radiation	Male	283	83881	79070
2512 Medical Imaging Professionals	251212 Medical radiation therapist; Therapist - medical radiation	Total	1087	72846	69810
2512 Medical Imaging Professionals	251213 Nuclear medicine technologist	Female	460	67236	63754
2512 Medical Imaging Professionals	251213 Nuclear medicine technologist	Male	241	90071	87235
2512 Medical Imaging Professionals	251213 Nuclear medicine technologist	Total	701	75087	71960
2512 Medical Imaging Professionals	251214 Sonographer	Female	2172	84202	80750
2512 Medical Imaging Professionals	251214 Sonographer	Male	570	111641	111942
2512 Medical Imaging Professionals	251214 Sonographer	Total	2742	89906	85972
2513 Occupational and Environmental Health Professionals	251311 Health inspector; Inspector - health	Female	634	64792	67300
2513 Occupational and Environmental Health Professionals	251311 Health inspector; Inspector - health	Male	728	87084	82715
2513 Occupational and Environmental Health Professionals	251311 Health inspector; Inspector - health	Total	1362	76707	76341
2513 Occupational and Environmental Health Professionals	251312 Occupational health and safety adviser	Female	3999	79259	73315
2513 Occupational and Environmental Health Professionals	251312 Occupational health and safety adviser	Male	6480	104216	93762
2513 Occupational and Environmental Health Professionals	251312 Occupational health and safety adviser	Total	10479	94692	85087
2514 Optometrists and Orthoptists	251411 Optometrist	Female	2093	78598	74373
2514 Optometrists and Orthoptists	251411 Optometrist	Male	1694	103101	92984
2514 Optometrists and Orthoptists	251411 Optometrist	Total	3787	89559	81880
2514 Optometrists and Orthoptists	251412 Orthoptist	Female	721	58950	58288
2514 Optometrists and Orthoptists	251412 Orthoptist	Male	117	72194	61541
2514 Optometrists and Orthoptists	251412 Orthoptist	Total	838	60799	58882
2515 Pharmacists	251500 Pharmacist - type not specified	Female	226	50756	45355
2515 Pharmacists	251500 Pharmacist - type not specified	Male	99	53787	42259
2515 Pharmacists	251500 Pharmacist - type not specified	Total	325	51679	45137
2515 Pharmacists	251511 Hospital pharmacist; Pharmacist - hospital; Army - pharmaceutical officer (army); Pharmaceutical officer (army)	Female	3280	70802	69368
2515 Pharmacists	251511 Hospital pharmacist; Pharmacist - hospital; Army - pharmaceutical officer (army); Pharmaceutical officer (army)	Male	1070	83854	82964
2515 Pharmacists	251511 Hospital pharmacist; Pharmacist - hospital; Army - pharmaceutical officer (army); Pharmaceutical officer (army)	Total	4350	74013	72968
2515 Pharmacists	251512 Industrial pharmacist; Pharmacist - industrial	Female	536	88756	80306
2515 Pharmacists	251512 Industrial pharmacist; Pharmacist - industrial	Male	315	110999	92640
2515 Pharmacists	251512 Industrial pharmacist; Pharmacist - industrial	Total	851	96990	83471
2515 Pharmacists	251513 Chemist - pharmacy; Pharmacist - retail	Female	10993	62501	57171
2515 Pharmacists	251513 Chemist - pharmacy; Pharmacist - retail	Male	5830	85476	73388
2515 Pharmacists	251513 Chemist - pharmacy; Pharmacist - retail	Total	16823	70463	63103
2519 Other Health Diagnostic and Promotion Professionals	251911 Health promotion officer; Manager - health promotion	Female	2540	54517	49430
2519 Other Health Diagnostic and Promotion Professionals	251911 Health promotion officer; Manager - health promotion	Male	710	67291	58277
2519 Other Health Diagnostic and Promotion Professionals	251911 Health promotion officer; Manager - health promotion	Total	3250	57308	51012
2519 Other Health Diagnostic and Promotion Professionals	251912 Orthotist; Prosthetist	Female	191	55716	55105
2519 Other Health Diagnostic and Promotion Professionals	251912 Orthotist; Prosthetist	Male	210	72694	69087
2519 Other Health Diagnostic and Promotion Professionals	251912 Orthotist; Prosthetist	Total	401	64607	63564
2519 Other Health Diagnostic and Promotion Professionals	251999 Counsellor - genetic; Genetic counsellor	Female	355	64284	52992
2519 Other Health Diagnostic and Promotion Professionals	251999 Counsellor - genetic; Genetic counsellor	Male	78	68647	52690
2519 Other Health Diagnostic and Promotion Professionals	251999 Counsellor - genetic; Genetic counsellor	Total	433	65070	52992
2521 Chiropractors and Osteopaths	252111 Chiropractor	Female	900	63567	50897
2521 Chiropractors and Osteopaths	252111 Chiropractor	Male	1245	78276	68095
2521 Chiropractors and Osteopaths	252111 Chiropractor	Total	2145	72104	60985
2521 Chiropractors and Osteopaths	252112 Osteopath	Female	323	59155	54957
2521 Chiropractors and Osteopaths	252112 Osteopath	Male	270	69142	67483
2521 Chiropractors and Osteopaths	252112 Osteopath	Total	593	63702	57931
2522 Complementary Health Therapists	252211 Acupuncturist	Female	171	38451	30620
2522 Complementary Health Therapists	252211 Acupuncturist	Male	127	43027	38278
2522 Complementary Health Therapists	252211 Acupuncturist	Total	298	40401	34162
2522 Complementary Health Therapists	252212 Homeopath	Female	35	34555	29014
2522 Complementary Health Therapists	252212 Homeopath	Male	8	55104	53155
2522 Complementary Health Therapists	252212 Homeopath	Total	43	38378	30490
2522 Complementary Health Therapists	252213 Naturopath	Female	1093	42020	36170
2522 Complementary Health Therapists	252213 Naturopath	Male	163	56731	51358
2522 Complementary Health Therapists	252213 Naturopath	Total	1256	43929	37716
2522 Complementary Health Therapists	252214 Chinese medicine practitioner; Herbalist - Chinese	Female	101	37847	32175
2522 Complementary Health Therapists	252214 Chinese medicine practitioner; Herbalist - Chinese	Male	81	48126	38146
2522 Complementary Health Therapists	252214 Chinese medicine practitioner; Herbalist - Chinese	Total	182	42422	32490
2522 Complementary Health Therapists	252299 Play therapist; Therapist - play; Therapist - other complementary health	Female	1115	39272	34907
2522 Complementary Health Therapists	252299 Play therapist; Therapist - play; Therapist - other complementary health	Male	151	43597	37373
2522 Complementary Health Therapists	252299 Play therapist; Therapist - play; Therapist - other complementary health	Total	1266	39788	35352
2523 Dental Practitioners	252311 Dental specialist	Female	329	140142	86648
2523 Dental Practitioners	252311 Dental specialist	Male	539	259778	163610
2523 Dental Practitioners	252311 Dental specialist	Total	868	214432	133550
2523 Dental Practitioners	252312 Dentist	Female	3718	113092	96882
2523 Dental Practitioners	252312 Dentist	Male	4072	147942	123736
2523 Dental Practitioners	252312 Dentist	Total	7790	131309	109457
2524 Occupational Therapists	252411 Occupational therapist; Therapist - occupational	Female	13753	58014	54594
2524 Occupational Therapists	252411 Occupational therapist; Therapist - occupational	Male	1262	71771	69311
2524 Occupational Therapists	252411 Occupational therapist; Therapist - occupational	Total	15015	59170	55734
2525 Physiotherapists	252511 Physiotherapist; Therapist - physiotherapist	Female	14427	61430	57104
2525 Physiotherapists	252511 Physiotherapist; Therapist - physiotherapist	Male	6302	75406	71575
2525 Physiotherapists	252511 Physiotherapist; Therapist - physiotherapist	Total	20729	65679	61511
2526 Podiatrists	252611 Podiatrist; Chiropodist	Female	1750	59378	56360
2526 Podiatrists	252611 Podiatrist; Chiropodist	Male	1068	77522	71511
2526 Podiatrists	252611 Podiatrist; Chiropodist	Total	2818	66255	61174
2527 Speech Professionals and Audiologists	252711 Audiologist	Female	1756	73793	72605
2527 Speech Professionals and Audiologists	252711 Audiologist	Male	604	96469	91354
2527 Speech Professionals and Audiologists	252711 Audiologist	Total	2360	79596	78101
2527 Speech Professionals and Audiologists	252712 Speech pathologist; Speech therapist; Therapist - speech	Female	6700	56425	53316
2527 Speech Professionals and Audiologists	252712 Speech pathologist; Speech therapist; Therapist - speech	Male	187	67533	66640
2527 Speech Professionals and Audiologists	252712 Speech pathologist; Speech therapist; Therapist - speech	Total	6887	56726	53582
2530 Medical Practitioners - type not specified	253000 Doctor - specialist - type not specified; Medical specialist - type not specified	Female	29	85487	70233
2530 Medical Practitioners - type not specified	253000 Doctor - specialist - type not specified; Medical specialist - type not specified	Male	31	166381	141584
2530 Medical Practitioners - type not specified	253000 Doctor - specialist - type not specified; Medical specialist - type not specified	Total	60	127282	88599
2531 Generalist Medical Practitioners	253111 Medical practitioner - general practice; General practitioner; Medical officer (navy); Navy - medical officer (navy)	Female	9935	134386	113075
2531 Generalist Medical Practitioners	253111 Medical practitioner - general practice; General practitioner; Medical officer (navy); Navy - medical officer (navy)	Male	11432	187453	153684
2531 Generalist Medical Practitioners	253111 Medical practitioner - general practice; General practitioner; Medical officer (navy); Navy - medical officer (navy)	Total	21367	162778	131982
2531 Generalist Medical Practitioners	253112 Medical officer - resident; Resident medical officer; Medical practitioner - resident medical officer	Female	5540	82673	80561
2531 Generalist Medical Practitioners	253112 Medical officer - resident; Resident medical officer; Medical practitioner - resident medical officer	Male	5356	97749	89297
2531 Generalist Medical Practitioners	253112 Medical officer - resident; Resident medical officer; Medical practitioner - resident medical officer	Total	10896	90084	84451
2532 Anaesthetists	253211 Anaesthetist; Medical practitioner - specialist - anaesthetist	Female	1010	265923	243630
2532 Anaesthetists	253211 Anaesthetist; Medical practitioner - specialist - anaesthetist	Male	2171	402384	385298
2532 Anaesthetists	253211 Anaesthetist; Medical practitioner - specialist - anaesthetist	Total	3181	359056	339559
2533 Internal Medicine Specialists	253311 Medical practitioner - specialist - specialist physician (general medicine); Specialist physician - general medicine	Female	597	214804	182574
2533 Internal Medicine Specialists	253311 Medical practitioner - specialist - specialist physician (general medicine); Specialist physician - general medicine	Male	1045	317250	281543
2533 Internal Medicine Specialists	253311 Medical practitioner - specialist - specialist physician (general medicine); Specialist physician - general medicine	Total	1642	280002	243700
2533 Internal Medicine Specialists	253312 Cardiologist; Medical practitioner - specialist - cardiologist	Female	135	266805	238422
2533 Internal Medicine Specialists	253312 Cardiologist; Medical practitioner - specialist - cardiologist	Male	697	484086	398451
2533 Internal Medicine Specialists	253312 Cardiologist; Medical practitioner - specialist - cardiologist	Total	832	448830	378582
2533 Internal Medicine Specialists	253313 Medical practitioner - specialist - clinical haematologist; Clinical haematologist	Female	135	184698	138214
2533 Internal Medicine Specialists	253313 Medical practitioner - specialist - clinical haematologist; Clinical haematologist	Male	159	289596	279526
2533 Internal Medicine Specialists	253313 Medical practitioner - specialist - clinical haematologist; Clinical haematologist	Total	294	241429	222351
2533 Internal Medicine Specialists	253314 Medical practitioner - specialist - medical oncologist; Medical oncologist	Female	168	216821	192456
2533 Internal Medicine Specialists	253314 Medical practitioner - specialist - medical oncologist; Medical oncologist	Male	238	339109	299993
2533 Internal Medicine Specialists	253314 Medical practitioner - specialist - medical oncologist; Medical oncologist	Total	406	288507	252376
2533 Internal Medicine Specialists	253315 Medical practitioner - specialist - endocrinologist; Endocrinologist	Female	156	174158	152300
2533 Internal Medicine Specialists	253315 Medical practitioner - specialist - endocrinologist; Endocrinologist	Male	148	279549	254441
2533 Internal Medicine Specialists	253315 Medical practitioner - specialist - endocrinologist; Endocrinologist	Total	304	225467	196465
2533 Internal Medicine Specialists	253316 Gastroenterologist; Medical practitioner - specialist - gastroenterologist	Female	85	288047	280105
2533 Internal Medicine Specialists	253316 Gastroenterologist; Medical practitioner - specialist - gastroenterologist	Male	321	424483	367041
2533 Internal Medicine Specialists	253316 Gastroenterologist; Medical practitioner - specialist - gastroenterologist	Total	406	395919	335791
2533 Internal Medicine Specialists	253317 Medical practitioner - specialist - intensive care specialist; Intensive care specialist	Female	162	210584	144031
2533 Internal Medicine Specialists	253317 Medical practitioner - specialist - intensive care specialist; Intensive care specialist	Male	364	344180	317076
2533 Internal Medicine Specialists	253317 Medical practitioner - specialist - intensive care specialist; Intensive care specialist	Total	526	303035	253383
2533 Internal Medicine Specialists	253318 Neurologist; Medical practitioner - specialist - neurologist	Female	113	169524	130928
2533 Internal Medicine Specialists	253318 Neurologist; Medical practitioner - specialist - neurologist	Male	245	304910	282303
2533 Internal Medicine Specialists	253318 Neurologist; Medical practitioner - specialist - neurologist	Total	358	262177	239186
2533 Internal Medicine Specialists	253321 Medical practitioner - specialist - paediatrician; Paediatrician	Female	733	162167	133892
2533 Internal Medicine Specialists	253321 Medical practitioner - specialist - paediatrician; Paediatrician	Male	698	253403	245225
2533 Internal Medicine Specialists	253321 Medical practitioner - specialist - paediatrician; Paediatrician	Total	1431	206669	179250
2533 Internal Medicine Specialists	253322 Renal medicine specialist; Medical practitioner - specialist - renal medicine specialist	Female	54	178755	133450
2533 Internal Medicine Specialists	253322 Renal medicine specialist; Medical practitioner - specialist - renal medicine specialist	Male	108	326432	317197
2533 Internal Medicine Specialists	253322 Renal medicine specialist; Medical practitioner - specialist - renal medicine specialist	Total	162	277206	261186
2533 Internal Medicine Specialists	253323 Medical practitioner - specialist - rheumatologist; Rheumatologist	Female	63	188552	196945
2533 Internal Medicine Specialists	253323 Medical practitioner - specialist - rheumatologist; Rheumatologist	Male	96	268362	226025
2533 Internal Medicine Specialists	253323 Medical practitioner - specialist - rheumatologist; Rheumatologist	Total	159	236739	211867
2533 Internal Medicine Specialists	253324 Thoracic medicine specialist; Medical practitioner - specialist - thoracic medicine specialist	Female	31	198392	176453
2533 Internal Medicine Specialists	253324 Thoracic medicine specialist; Medical practitioner - specialist - thoracic medicine specialist	Male	92	333696	307348
2533 Internal Medicine Specialists	253324 Thoracic medicine specialist; Medical practitioner - specialist - thoracic medicine specialist	Total	123	299595	273934
2533 Internal Medicine Specialists	253399 Medical practitioner - specialist - specialist physician - other; Medical practitioner - specialist - rehabilitation medicine physician; Medical practitioner - specialist - sleep medicine physician; Rehabilitation medicine physician; Sleep medicine physician	Female	555	207083	171077
2533 Internal Medicine Specialists	253399 Medical practitioner - specialist - specialist physician - other; Medical practitioner - specialist - rehabilitation medicine physician; Medical practitioner - specialist - sleep medicine physician; Rehabilitation medicine physician; Sleep medicine physician	Male	993	353282	296137
2533 Internal Medicine Specialists	253399 Medical practitioner - specialist - specialist physician - other; Medical practitioner - specialist - rehabilitation medicine physician; Medical practitioner - specialist - sleep medicine physician; Rehabilitation medicine physician; Sleep medicine physician	Total	1548	300865	246549
2534 Psychiatrists	253411 Medical practitioner - specialist - psychiatrist; Psychiatrist	Female	1202	166913	139007
2534 Psychiatrists	253411 Medical practitioner - specialist - psychiatrist; Psychiatrist	Male	1538	245498	231213
2534 Psychiatrists	253411 Medical practitioner - specialist - psychiatrist; Psychiatrist	Total	2740	211024	189561
2535 Surgeons	253500 Surgeon - type not specified	Female	2		
2535 Surgeons	253500 Surgeon - type not specified	Total	2		
2535 Surgeons	253511 Surgeon - general; Medical practitioner - specialist - surgeon (general)	Female	357	219165	170324
2535 Surgeons	253511 Surgeon - general; Medical practitioner - specialist - surgeon (general)	Male	1317	371664	293506
2535 Surgeons	253511 Surgeon - general; Medical practitioner - specialist - surgeon (general)	Total	1674	339142	261709
2535 Surgeons	253512 Medical practitioner - specialist - cardiothoracic surgeon; Cardiothoracic surgeon; Surgeon - cardiothoracic	Female	10	187166	148026
2535 Surgeons	253512 Medical practitioner - specialist - cardiothoracic surgeon; Cardiothoracic surgeon; Surgeon - cardiothoracic	Male	130	387770	284255
2535 Surgeons	253512 Medical practitioner - specialist - cardiothoracic surgeon; Cardiothoracic surgeon; Surgeon - cardiothoracic	Total	140	373441	268828
2535 Surgeons	253513 Neurosurgeon; Surgeon - neurosurgeon; Medical practitioner - specialist - neurosurgeon	Female	24	378188	379748
2535 Surgeons	253513 Neurosurgeon; Surgeon - neurosurgeon; Medical practitioner - specialist - neurosurgeon	Male	145	600153	456537
2535 Surgeons	253513 Neurosurgeon; Surgeon - neurosurgeon; Medical practitioner - specialist - neurosurgeon	Total	169	568631	423649
2535 Surgeons	253514 Medical practitioner - specialist - orthopaedic specialist; Orthopaedic surgeon; Surgeon - orthopaedic	Female	55	198081	145940
2535 Surgeons	253514 Medical practitioner - specialist - orthopaedic specialist; Orthopaedic surgeon; Surgeon - orthopaedic	Male	833	451265	348495
2535 Surgeons	253514 Medical practitioner - specialist - orthopaedic specialist; Orthopaedic surgeon; Surgeon - orthopaedic	Total	888	435583	324300
2535 Surgeons	253515 Otorhinolaryngologist; Surgeon - otorhinolaryngologist; Medical practitioner - specialist - otorhinolaryngologist	Female	22	233083	199233
2535 Surgeons	253515 Otorhinolaryngologist; Surgeon - otorhinolaryngologist; Medical practitioner - specialist - otorhinolaryngologist	Male	92	537764	536781
2535 Surgeons	253515 Otorhinolaryngologist; Surgeon - otorhinolaryngologist; Medical practitioner - specialist - otorhinolaryngologist	Total	114	478966	395391
2535 Surgeons	253516 Medical practitioner - specialist - paediatric surgeon; Paediatric surgeon; Surgeon - paediatric	Female	41	197611	156738
2535 Surgeons	253516 Medical practitioner - specialist - paediatric surgeon; Paediatric surgeon; Surgeon - paediatric	Male	74	321437	261825
2535 Surgeons	253516 Medical practitioner - specialist - paediatric surgeon; Paediatric surgeon; Surgeon - paediatric	Total	115	277290	202782
2535 Surgeons	253517 Plastic and reconstructive surgeon; Surgeon - plastic and reconstructive; Medical practitioner - specialist - plastic and reconstructive surgeon	Female	68	255336	186511
2535 Surgeons	253517 Plastic and reconstructive surgeon; Surgeon - plastic and reconstructive; Medical practitioner - specialist - plastic and reconstructive surgeon	Male	248	481517	392205
2535 Surgeons	253517 Plastic and reconstructive surgeon; Surgeon - plastic and reconstructive; Medical practitioner - specialist - plastic and reconstructive surgeon	Total	316	432845	316951
2535 Surgeons	253518 Medical practitioner - specialist - urologist; Surgeon - urologist; Urologist	Female	34	308749	319778
2535 Surgeons	253518 Medical practitioner - specialist - urologist; Surgeon - urologist; Urologist	Male	248	475908	400315
2535 Surgeons	253518 Medical practitioner - specialist - urologist; Surgeon - urologist; Urologist	Total	282	455754	392625
2535 Surgeons	253521 Medical practitioner - specialist - vascular surgeon; Surgeon - vascular; Vascular surgeon	Female	15	236671	215182
2535 Surgeons	253521 Medical practitioner - specialist - vascular surgeon; Surgeon - vascular; Vascular surgeon	Male	107	424302	372804
2535 Surgeons	253521 Medical practitioner - specialist - vascular surgeon; Surgeon - vascular; Vascular surgeon	Total	122	401233	359360
2539 Other Medical Practitioners	253900 Radiologist - type not specified	Female	11	47125	48968
2539 Other Medical Practitioners	253900 Radiologist - type not specified	Male	9	156052	78161
2539 Other Medical Practitioners	253900 Radiologist - type not specified	Total	20	96142	56233
2539 Other Medical Practitioners	253911 Medical practitioner - specialist - dermatologist; Dermatologist	Female	205	188298	138542
2539 Other Medical Practitioners	253911 Medical practitioner - specialist - dermatologist; Dermatologist	Male	172	416186	333825
2539 Other Medical Practitioners	253911 Medical practitioner - specialist - dermatologist; Dermatologist	Total	377	292268	210345
2539 Other Medical Practitioners	253912 Emergency medicine specialist; Medical practitioner - specialist - emergency medicine specialist	Female	530	193883	156032
2539 Other Medical Practitioners	253912 Emergency medicine specialist; Medical practitioner - specialist - emergency medicine specialist	Male	933	260375	244744
2539 Other Medical Practitioners	253912 Emergency medicine specialist; Medical practitioner - specialist - emergency medicine specialist	Total	1463	236287	201678
2539 Other Medical Practitioners	253913 Medical practitioner - specialist - gynaecologist; Medical practitioner - specialist - obstetrician; Gynaecologist; Obstetrician	Female	623	281684	207718
2539 Other Medical Practitioners	253913 Medical practitioner - specialist - gynaecologist; Medical practitioner - specialist - obstetrician; Gynaecologist; Obstetrician	Male	655	416497	326473
2539 Other Medical Practitioners	253913 Medical practitioner - specialist - gynaecologist; Medical practitioner - specialist - obstetrician; Gynaecologist; Obstetrician	Total	1278	350778	257831
2539 Other Medical Practitioners	253914 Ophthalmologist; Medical practitioner - specialist - ophthalmologist	Female	153	247905	157944
